type,dataset,n,p,lam_fpc,lam_lasso,lam_scale,diff_lam_fpc,violation
survival,cancer,228,15,0.0477975875733693,0.00271892491375012,0.00208881470404882,-0.00472323393483938,FALSE
survival,cancer,228,15,0.0434997500451603,0.00247503239984848,0.000995365144081023,-0.00429783752820903,FALSE
survival,cancer,228,15,0.039588969113716,0.00225301748839053,0,-0.00391078093144429,FALSE
survival,colon,929,11,9.2574063400208,0.211639944704414,1,,
survival,colon,929,11,8.46241941145881,0.192655456425637,0.909202441390063,-0.794986928561983,FALSE
survival,colon,929,11,7.72593075523575,0.175373911302087,0.826549589062201,-0.736488656223064,FALSE
survival,colon,929,11,7.0463788868917,0.159642552232949,0.751310848037464,-0.679551868344054,FALSE
survival,colon,929,11,6.42142985877492,0.145322324707407,0.682821159036384,-0.624949028116782,FALSE
survival,colon,929,11,5.84822813516234,0.13228664765738,0.62047511980744,-0.57320172361258,FALSE
survival,colon,929,11,5.32361344569215,0.120420294567004,0.563721633783058,-0.524614689470189,FALSE
survival,colon,929,11,4.84428494378283,0.10961837494863,0.512059038760912,-0.479328501909317,FALSE
survival,colon,929,11,4.40692186143818,0.099785407182279,0.465030672551381,-0.437363082344645,FALSE
survival,colon,929,11,4.00895850568347,0.0908344745230841,0.42222083639449,-0.39796335575471,FALSE
survival,colon,929,11,3.64690323682098,0.0826864568164041,0.383251120465715,-0.362055268862495,FALSE
survival,colon,929,11,3.31855096266864,0.0752693311294881,0.347777058990595,-0.328352274152338,FALSE
survival,colon,929,11,3.02019740304057,0.0685175351177528,0.315485085401652,-0.298353559628073,FALSE
survival,colon,929,11,2.74780944230743,0.0623713874982646,0.286089760623281,-0.272387960733135,FALSE
survival,colon,929,11,2.49931535078653,0.056776560507804,0.259331249984535,-0.248494091520904,FALSE
survival,colon,929,11,2.27314757358455,0.0516835996824028,0.234973026457413,-0.226167777201977,FALSE
survival,colon,929,11,2.06797155193685,0.0470474867135304,0.212799779918865,-0.205176021647706,FALSE
survival,colon,929,11,1.8809528919703,0.0428272415168764,0.192615513955802,-0.187018659966544,FALSE
survival,colon,929,11,1.71053719979009,0.0389855599962871,0.174241813390148,-0.170415692180212,FALSE
survival,colon,929,11,1.55537013600562,0.035488484300937,0.157516267210064,-0.155167063784473,FALSE
survival,colon,929,11,1.41417035125661,0.0323051026610313,0.142291032967102,-0.141199784749004,FALSE
survival,colon,929,11,1.28581759874861,0.0294072761487933,0.128431529949552,-0.128352752508003,FALSE
survival,colon,929,11,1.16906084162272,0.026769389949488,0.115815249580514,-0.116756757125891,FALSE
survival,colon,929,11,1.06288611782464,0.0243681269438874,0.104330672525433,-0.106174723798074,FALSE
survival,colon,929,11,0.966358221821216,0.0221822616008016,0.0938762829370582,-0.096527896003429,FALSE
survival,colon,929,11,0.87861543923755,0.0201924723578242,0.0843596711244218,-0.0877427825836653,FALSE
survival,colon,929,11,0.798866953877171,0.0183811708318668,0.0756967167140447,-0.0797484853603793,FALSE
survival,colon,929,11,0.726388308341028,0.0167323463498196,0.0678108450830696,-0.072478645536143,FALSE
survival,colon,929,11,0.660518944491727,0.0152314244250939,0.0606323504916948,-0.0658693638493014,FALSE
survival,colon,929,11,0.600651070597075,0.0138651379290776,0.0540977799318611,-0.0598678738946517,FALSE
survival,colon,929,11,0.546240474747768,0.0126214098187447,0.0481493722458331,-0.0544105958493073,FALSE
survival,colon,929,11,0.496786198076601,0.0114892463838116,0.0427345475568641,-0.049454276671167,FALSE
survival,colon,929,11,0.451834959478472,0.0104586400698188,0.0378054424988605,-0.0449512385981282,FALSE
survival,colon,929,11,0.41097420889271,0.00952048101815809,0.0333184871367908,-0.0408607505857627,FALSE
survival,colon,929,11,0.373829099844338,0.00866647654112059,0.0292340198381042,-0.037145109048372,FALSE
survival,colon,929,11,0.340059243458731,0.00788907782017977,0.0255159366908843,-0.0337698563856068,FALSE
survival,colon,929,11,0.309363511721049,0.0071814131795717,0.0221313723698316,-0.0306957317376823,FALSE
survival,colon,929,11,0.281451389230817,0.00653722734535669,0.0190504096291495,-0.0279121224902318,FALSE
survival,colon,929,11,0.256068499864979,0.00595082615305363,0.0162458148544461,-0.0253828893658379,FALSE
survival,colon,929,11,0.232984168611445,0.00541702621510019,0.013692797336113,-0.0230843312535335,FALSE
survival,colon,929,11,0.211988911316117,0.0049311091032335,0.0113687901363187,-0.0209952572953283,FALSE
survival,colon,929,11,0.192892496050977,0.00448877964079458,0.00925325061263301,-0.0190964152651404,FALSE
survival,colon,929,11,0.175522164914805,0.00408612793628911,0.00732747883504458,-0.0173703311361718,FALSE
survival,colon,929,11,0.159721015568087,0.00371959482260679,0.00557445229130266,-0.0158011493467178,FALSE
